37	13	30	10	0	70,000
36	38	31	10	0	60,000
37	63	30	10	0	50,000
36	87	31	10	0	40,000
36	112	31	9	0	30,000
36	137	31	10	0	20,000
37	161	30	9	0	10,000
48	186	7	8	0	0
12	83	9	30	0	visitors
57	225	11	55	0	15-19 years
101	226	11	56	0	20-24 years
146	226	10	56	0	25-29 years
190	226	10	56	0	30-34 years
234	226	11	56	0	35-39 years
279	226	10	56	0	40-44 years
323	226	10	56	0	45-49 years
367	226	10	56	0	50-54 years
411	226	11	56	0	55-59 years
456	226	10	56	0	60-64 years
500	226	10	56	0	65-69 years
544	231	11	68	0	70 years or over
