195	23	165	14	0	Library Gate Counts - 1998
31	59	30	9	0	18000
31	77	30	9	0	16000
31	96	30	9	0	14000
31	114	30	9	0	12000
31	133	30	9	0	10000
34	151	24	9	0	8000
34	170	24	9	0	6000
34	188	24	9	0	4000
34	207	24	9	0	2000
43	225	6	9	0	0
54	253	11	39	0	January
83	256	11	44	0	Februrary
112	249	9	30	0	March
142	245	11	22	0	April
171	244	11	20	0	May
200	245	9	23	0	June
230	243	11	19	0	July
260	251	11	35	0	August
289	260	11	52	0	September
317	253	9	39	0	October
347	258	9	49	0	November
376	258	9	49	0	December
