62	24	34	11	0	30,000
62	54	34	11	0	28,000
62	84	34	11	0	26,000
62	114	34	11	0	24,000
62	144	34	11	0	22,000
62	174	34	11	0	20,000
62	204	33	11	0	18,000
62	234	33	11	0	16,000
62	264	33	11	0	14,000
62	294	33	11	0	12,000
62	324	33	11	0	10,000
25	173	10	42	0	Growth
89	344	31	10	0	1995
137	344	31	10	0	1996
185	344	31	10	0	1997
233	344	31	10	0	1998
289	344	31	10	0	1999
346	344	32	10	0	2000
401	344	30	10	0	2001
449	344	31	10	0	2002
497	344	31	10	0	2003
546	344	32	10	0	2004
593	344	31	10	0	2005
