146	15	92	10	0	Execution time(s)
52	75	74	9	0	1200000 mrd
50	116	71	8	0	1000000 mrd
47	158	64	8	0	800000 mrd
47	200	64	8	0	600000 mrd
47	241	64	8	0	400000 mrd
47	283	64	8	0	200000 mrd
113	388	10	85	0	Es war janner....
157	402	10	113	0	Es war ein Sonntag...
214	413	8	134	0	Ich war ein kleines kind...
273	419	8	147	0	Sind nicht alle kinder klein?
331	385	8	79	0	Alles ist relativ!
389	403	8	114	0	Was ist ein Paradox?
449	387	10	82	0	Ich luge immer!
475	333	121	13	0	Number of processors
