245	19	138	14	0	Large Trucks Registered
35	42	44	10	0	8,500,000
35	70	44	10	0	8,000,000
35	99	44	10	0	7,500,000
35	127	44	10	0	7,000,000
35	153	44	10	0	6,500,000
35	181	44	10	0	6,000,000
35	209	44	10	0	5,500,000
35	238	44	9	0	5,000,000
80	252	21	9	0	1990
108	252	19	9	0	1991
138	252	21	9	0	1992
167	252	21	8	0	1993
197	252	21	9	0	1994
226	252	20	9	0	1995
254	252	21	9	0	1996
284	252	21	9	0	1997
314	252	20	9	0	1998
342	252	21	9	0	1999
371	252	22	9	0	2000
399	252	21	9	0	2001
429	252	21	9	0	2002
